version,G,F,T,complexity,entry,bundleBytesMin,bundleBytesRaw,evalMedianMs,evalP90Ms
vanilla,1,8,5,medium,g0,3676,5081,21.255,22.701
vanilla,5,8,5,medium,g0,3676,5081,20.635,23.767
vanilla,5,8,5,medium,g1,3676,5081,20.289,21.727
vanilla,5,8,5,medium,g2,3676,5081,20.918,24.173
vanilla,5,8,5,medium,g3,3676,5081,20.546,21.202
vanilla,5,8,5,medium,g4,3676,5081,22.313,26.537
vanilla,20,8,5,medium,g0,3676,5082,21.139,23.305
vanilla,20,8,5,medium,g2,3676,5082,19.927,22.396
vanilla,20,8,5,medium,g5,3676,5082,20.886,23.366
vanilla,20,8,5,medium,g7,3676,5082,23.795,27.485
vanilla,20,8,5,medium,g10,3676,5083,23.396,29.29
vanilla,20,8,5,medium,g12,3676,5083,24.94,26.441
vanilla,20,8,5,medium,g15,3676,5083,22.27,25.401
vanilla,20,8,5,medium,g17,3676,5083,20.713,22.748
vanilla,50,8,5,medium,g0,3676,5082,22.337,27.498
vanilla,50,8,5,medium,g6,3676,5082,21.568,23.011
vanilla,50,8,5,medium,g12,3676,5083,22.797,23.643
vanilla,50,8,5,medium,g18,3676,5083,20.567,21.872
vanilla,50,8,5,medium,g25,3676,5083,22.82,30.871
vanilla,50,8,5,medium,g31,3676,5083,21.482,21.69
vanilla,50,8,5,medium,g37,3676,5083,22.265,25.699
vanilla,50,8,5,medium,g43,3676,5083,20.094,21.03
vanilla,5,8,1,medium,g0,3676,5081,20.819,22.863
vanilla,5,8,1,medium,g1,3676,5081,19.698,20.542
vanilla,5,8,1,medium,g2,3676,5081,20.08,22.405
vanilla,5,8,1,medium,g3,3676,5081,20.542,22.139
vanilla,5,8,1,medium,g4,3676,5081,22.191,22.662
vanilla,5,8,20,medium,g0,3676,5082,20.644,28.126
vanilla,5,8,20,medium,g1,3676,5082,20.648,22.223
vanilla,5,8,20,medium,g2,3676,5082,20.515,21.96
vanilla,5,8,20,medium,g3,3676,5082,21.308,25.224
vanilla,5,8,20,medium,g4,3676,5082,20.656,23.123
vanilla,5,8,50,medium,g0,3676,5082,21.045,24.209
vanilla,5,8,50,medium,g1,3676,5082,20.624,21.131
vanilla,5,8,50,medium,g2,3676,5082,21.051,22.635
vanilla,5,8,50,medium,g3,3676,5082,20.722,26.956
vanilla,5,8,50,medium,g4,3676,5082,22.201,25.13
vanilla,5,8,5,small,g0,1004,1480,20.092,22.178
vanilla,5,8,5,small,g1,1004,1480,20.884,22.989
vanilla,5,8,5,small,g2,1004,1480,19.798,20.201
vanilla,5,8,5,small,g3,1004,1480,19.429,21.064
vanilla,5,8,5,small,g4,1004,1480,19.442,20.191
vanilla,5,8,5,large,g0,12172,16760,21.295,25.026
vanilla,5,8,5,large,g1,12172,16760,22.038,24.359
vanilla,5,8,5,large,g2,12172,16760,21.385,24.212
vanilla,5,8,5,large,g3,12172,16760,22.956,25.834
vanilla,5,8,5,large,g4,12172,16760,23.676,30.952
confect,1,8,5,medium,g0,607444,1457366,133.91,136.968
confect,5,8,5,medium,g0,607444,1457366,139.19,167.724
confect,5,8,5,medium,g1,607444,1457366,136.377,148.278
confect,5,8,5,medium,g2,607444,1457366,133.02,136.128
confect,5,8,5,medium,g3,607444,1457366,134.63,146.061
confect,5,8,5,medium,g4,607444,1457366,139.316,147.744
confect,20,8,5,medium,g0,607444,1457381,136.32,196.734
confect,20,8,5,medium,g2,607444,1457381,137.211,146.574
confect,20,8,5,medium,g5,607444,1457381,139.865,142.328
confect,20,8,5,medium,g7,607444,1457381,138.148,144.508
confect,20,8,5,medium,g10,607444,1457406,137.638,140.651
confect,20,8,5,medium,g12,607444,1457406,136.373,141.73
confect,20,8,5,medium,g15,607444,1457406,135.415,138.79
confect,20,8,5,medium,g17,607444,1457406,134.519,141.578
confect,50,8,5,medium,g0,607444,1457381,141.984,149.342
confect,50,8,5,medium,g6,607444,1457381,142.041,143.197
confect,50,8,5,medium,g12,607444,1457406,138.678,139.635
confect,50,8,5,medium,g18,607444,1457406,139.549,144.554
confect,50,8,5,medium,g25,607444,1457406,140.322,177.516
confect,50,8,5,medium,g31,607444,1457406,150.241,159.416
confect,50,8,5,medium,g37,607444,1457406,137.999,157.847
confect,50,8,5,medium,g43,607444,1457406,135.872,137.998
confect,5,8,1,medium,g0,606488,1454862,139.385,144.549
confect,5,8,1,medium,g1,606488,1454862,139.394,158.061
confect,5,8,1,medium,g2,606488,1454862,138.35,155.417
confect,5,8,1,medium,g3,606488,1454862,140.52,176.688
confect,5,8,1,medium,g4,606488,1454862,135.059,139.679
confect,5,8,20,medium,g0,611049,1466881,133.868,138.116
confect,5,8,20,medium,g1,611049,1466881,135.789,139.671
confect,5,8,20,medium,g2,611049,1466881,137.838,143.09
confect,5,8,20,medium,g3,611049,1466881,136.282,138.476
confect,5,8,20,medium,g4,611049,1466881,140.129,142.984
confect,5,8,50,medium,g0,618254,1485961,137.712,157.429
confect,5,8,50,medium,g1,618254,1485961,141.909,147.434
confect,5,8,50,medium,g2,618254,1485961,141.17,153.648
confect,5,8,50,medium,g3,618254,1485961,141.05,151.118
confect,5,8,50,medium,g4,618254,1485961,135.66,136.868
confect,5,8,5,small,g0,604483,1450459,126.595,137.603
confect,5,8,5,small,g1,604483,1450459,135.318,142.404
confect,5,8,5,small,g2,604483,1450459,129.267,137.621
confect,5,8,5,small,g3,604483,1450459,125.959,133.689
confect,5,8,5,small,g4,604483,1450459,128.412,136.397
confect,5,8,5,large,g0,616894,1480181,158.084,163.767
confect,5,8,5,large,g1,616894,1480181,156.853,160.033
confect,5,8,5,large,g2,616894,1480181,156.254,165.218
confect,5,8,5,large,g3,616894,1480181,154.884,157.906
confect,5,8,5,large,g4,616894,1480181,158.39,160.228
